ticker,action,shares,current_price,reason,est_value,pnl_pct
TATACONSUM.NS,SELL,4.0,1152.2,Weak Fundamentals (Score: 36/100),4608.8,24.89
TATATECH.NS,SELL,30.0,630.7,Weak Fundamentals (Score: 27/100),18921.0,26.14
